age,sex,sexornt,agekdbrn,natdrug,grass,happy,hapmar,socbar,polhitok,hunt,fejobaff,discaffm,discaffw,fehire,inttech,meovrwrk,hapunhap,theism,fatalism,godmeans,nihilism,egomeans,evidu,idu30,evcrack,crack30,race,uscitzn,fucitzn,cohort,realinc,realrinc
22,MALE,NA,NA,NA,NA,PRETTY HAPPY,NA,ALMOST DAILY,NA,NEITHER,NA,NA,SOMEWHAT UNLIKELY,STRONGLY AGREE,Moderately interested,DISAGREE,VERY HAPPY,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,NA,NA,NA,NA,OTHER,NA,NA,1996,20430,NA
28,MALE,NA,NA,TOO LITTLE,LEGAL,PRETTY HAPPY,NA,NA,NO,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLACK,NA,NA,1990,9647.5,3405
60,FEMALE,NA,25,TOO LITTLE,NA,PRETTY HAPPY,NA,SEV TIMES A YEAR,NA,NEITHER,STRONGLY AGAINST,SOMEWHAT UNLIKELY,NA,NA,Very interested,AGREE,VERY HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1958,30645,17025
31,FEMALE,Heterosexual or straight,NA,TOO LITTLE,NA,NOT TOO HAPPY,NA,SEV TIMES A MNTH,NO,NA,NA,VERY LIKELY,NA,NA,Moderately interested,DISAGREE,NOT AT ALL HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NO,NA,NO,NA,BLACK,NA,NA,1987,5107.5,2497
45,MALE,NA,21,NA,NA,NOT TOO HAPPY,NA,ONCE A MONTH,NA,NEITHER,NA,NA,SOMEWHAT UNLIKELY,AGREE,Moderately interested,AGREE,FAIRLY HAPPY,NEITHER AGREE NOR DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NEITHER AGREE NOR DISAGREE,NA,NA,NA,NA,BLACK,NA,NA,1973,17025,17025
49,MALE,Heterosexual or straight,NA,NA,LEGAL,VERY HAPPY,VERY HAPPY,ONCE A MONTH,NO,NA,NA,NA,VERY LIKELY,STRONGLY AGREE,NA,STRONGLY DISAGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,BLACK,NA,NA,1969,30645,17025
32,FEMALE,NA,21,TOO LITTLE,NA,PRETTY HAPPY,NA,ONCE A YEAR,NA,RESP,STRONGLY FOR,SOMEWHAT LIKELY,NA,NA,Not at all interested,DISAGREE,VERY HAPPY,AGREE,AGREE,AGREE,STRONGLY DISAGREE,STRONGLY AGREE,NA,NA,NA,NA,WHITE,NA,NA,1986,1589,NA
43,FEMALE,Heterosexual or straight,17,NA,LEGAL,NOT TOO HAPPY,NA,NA,NO,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,BLACK,NA,NA,1975,4086,4086
45,FEMALE,NA,21,ABOUT RIGHT,LEGAL,PRETTY HAPPY,NA,ONCE A MONTH,YES,NA,STRONGLY AGAINST,SOMEWHAT LIKELY,NA,NA,Moderately interested,DISAGREE,FAIRLY HAPPY,STRONGLY AGREE,DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE,NA,NA,NA,NA,BLACK,NA,NA,1973,20430,20430
65,MALE,NA,24,NA,NA,VERY HAPPY,VERY HAPPY,SEV TIMES A YEAR,NA,NEITHER,NA,NA,SOMEWHAT LIKELY,AGREE,Very interested,DISAGREE,VERY HAPPY,NEITHER AGREE NOR DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1953,54480,NA
32,FEMALE,Heterosexual or straight,18,TOO LITTLE,LEGAL,PRETTY HAPPY,NA,NA,NO,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1986,6242.5,NA
23,FEMALE,Heterosexual or straight,22,TOO LITTLE,LEGAL,PRETTY HAPPY,NA,ONCE A YEAR,YES,NA,AGAINST,SOMEWHAT LIKELY,NA,NA,Very interested,DISAGREE,VERY HAPPY,NEITHER AGREE NOR DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE,NO,NA,NO,NA,WHITE,NA,NA,1995,20430,1589
52,MALE,NA,32,TOO LITTLE,NA,PRETTY HAPPY,PRETTY HAPPY,NEVER,NA,NEITHER,STRONGLY AGAINST,SOMEWHAT LIKELY,NA,NA,Moderately interested,STRONGLY AGREE,FAIRLY HAPPY,AGREE,DISAGREE,AGREE,DISAGREE,NEITHER AGREE NOR DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1966,63560,30645
58,FEMALE,Heterosexual or straight,23,TOO LITTLE,LEGAL,PRETTY HAPPY,PRETTY HAPPY,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1960,45400,24970
21,FEMALE,Bisexual,NA,NA,NOT LEGAL,PRETTY HAPPY,NA,NEVER,YES,NA,NA,NA,SOMEWHAT LIKELY,DISAGREE,NA,NEITHER AGREE NOR DISAGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1997,NA,2497
77,FEMALE,Heterosexual or straight,26,NA,LEGAL,PRETTY HAPPY,NA,NA,NA,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1941,12485,2043
86,MALE,NA,22,NA,NA,VERY HAPPY,VERY HAPPY,NEVER,NA,RESP,NA,NA,SOMEWHAT LIKELY,AGREE,Very interested,AGREE,VERY HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1932,24970,NA
52,FEMALE,Heterosexual or straight,24,TOO LITTLE,NOT LEGAL,PRETTY HAPPY,NA,NA,NO,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1966,NA,12485
66,MALE,NA,30,NA,NA,PRETTY HAPPY,NA,SEV TIMES A WEEK,NA,RESP,NA,NA,SOMEWHAT LIKELY,AGREE,Moderately interested,AGREE,FAIRLY HAPPY,STRONGLY AGREE,DISAGREE,NEITHER AGREE NOR DISAGREE,DISAGREE,AGREE,NA,NA,NA,NA,WHITE,NA,NA,1952,17025,NA
72,FEMALE,NA,24,NA,NOT LEGAL,PRETTY HAPPY,NA,NEVER,YES,NA,NA,NA,VERY LIKELY,AGREE,NA,DISAGREE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHITE,NA,NA,1946,NA,NA
47,FEMALE,NA,19,TOO LITTLE,NA,PRETTY HAPPY,NA,SEV TIMES A MNTH,NA,NEITHER,STRONGLY FOR,SOMEWHAT UNLIKELY,NA,NA,Very interested,DISAGREE,FAIRLY HAPPY,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,NA,NA,NA,NA,WHITE,NA,NA,1971,17025,12485
58,MALE,Heterosexual or straight,NA,TOO LITTLE,NOT LEGAL,PRETTY HAPPY,NA,NEVER,YES,NA,STRONGLY AGAINST,SOMEWHAT LIKELY,NA,NA,Very interested,DISAGREE,VERY HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE,NO,NA,NO,NA,WHITE,NA,NA,1960,37455,37455
35,FEMALE,NA,NA,NA,NA,PRETTY HAPPY,NA,ONCE A YEAR,NA,NEITHER,NA,NA,SOMEWHAT LIKELY,STRONGLY AGREE,Very interested,DISAGREE,FAIRLY HAPPY,NEITHER AGREE NOR DISAGREE,NEITHER AGREE NOR DISAGREE,AGREE,STRONGLY DISAGREE,AGREE,NA,NA,NA,NA,BLACK,Not a U.S. Citizen,Planning to apply for U.S. citizenship,1983,30645,24970
50,FEMALE,Heterosexual or straight,25,ABOUT RIGHT,NOT LEGAL,VERY HAPPY,NA,NA,NA,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,YES,MORE THAN 3 YEARS AGO,BLACK,NA,NA,1968,20430,20430
84,FEMALE,Heterosexual or straight,25,NA,NOT LEGAL,VERY HAPPY,NA,NEVER,YES,NA,NA,NA,SOMEWHAT LIKELY,AGREE,NA,AGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1934,NA,NA
22,MALE,Heterosexual or straight,NA,NA,LEGAL,NOT TOO HAPPY,NA,NA,NO,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,BLACK,NA,NA,1996,14755,NA
29,FEMALE,Heterosexual or straight,19,TOO LITTLE,NOT LEGAL,VERY HAPPY,NA,ONCE A MONTH,NO,NA,STRONGLY AGAINST,SOMEWHAT LIKELY,NA,NA,Not at all interested,NEITHER AGREE NOR DISAGREE,VERY HAPPY,AGREE,AGREE,AGREE,STRONGLY DISAGREE,AGREE,NO,NA,NO,NA,BLACK,NA,NA,1989,14755,14755
