IDSTUD,ITBIRTHM,ITBIRTHY,ITSEX,ASDAGE,ASSSCI01,ASSEAR01,ASSLIF01,ASSPHY01,ASSKNO01,ASSAPP01,ASSREA01
1580503,3,2005,1,10.17,708.7962,668.2515,738.2003,714.0911,661.498,644.8073,634.1607
1580504,7,2005,2,9.83,705.1765,649.4789,632.9637,623.8894,658.4463,636.5614,640.6677
1580506,6,2005,1,9.92,564.8708,609.4916,626.5914,638.1832,638.6481,655.2791,615.2555
1580507,8,2005,2,9.75,683.2658,664.2593,643.6648,657.5105,652.4048,651.8602,632.1422
1580508,9,2004,2,10.67,744.0783,738.4251,765.0949,715.4808,643.4903,636.4248,634.4808
1580509,9,2004,2,10.67,707.8383,738.9724,727.7478,705.9203,646.7752,651.7434,623.4366
1580510,10,2004,2,10.58,645.1538,643.9099,611.8038,635.9652,698.4284,684.2992,605.7552
1580511,7,2004,1,10.83,672.4298,638.0974,710.3806,678.1675,642.4785,618.7154,602.7212
1580512,6,2005,1,9.92,548.2556,609.7467,669.8009,595.002,590.482,546.7383,532.8602
1580513,12,2004,1,10.42,667.9776,684.4966,757.8915,710.5203,679.0502,647.8708,667.6778
1580514,2,2005,1,10.25,641.1792,609.2927,629.8305,595.0861,605.2716,611.0611,579.6075
1580515,11,2004,2,10.5,655.5181,717.1895,693.6304,689.3069,831.7837,762.3798,781.4078
1580516,10,2004,1,10.58,655.4078,609.2158,606.6345,613.026,625.2093,615.4943,609.0324
1580517,2,2005,1,10.25,646.1945,527.3779,577.2114,549.1534,616.8277,602.9557,614.9856
1580518,2,2005,1,10.25,665.949,716.8645,705.8432,669.7809,738.0784,727.2534,687.1623
1580519,5,2005,2,10,610.2383,641.9817,641.0196,626.787,605.6047,594.8248,646.8713
1580520,8,2005,1,9.75,586.3833,555.2,556.5199,589.596,663.3599,683.3886,659.314
1580522,6,2004,2,10.92,620.3678,558.4311,597.4385,612.6021,621.7515,563.8358,598.4088
1580523,12,2004,1,10.42,647.1361,646.1929,646.2043,609.1751,725.6272,675.385,678.5598
1581401,9,2004,1,10.67,578.9913,505.227,529.1322,499.5729,596.3502,558.4898,617.9068
1581402,11,2004,2,10.5,619.1595,594.6736,678.2326,618.328,658.0894,643.7605,653.3443
1581403,1,2005,2,10.33,552.4733,511.6646,594.7582,549.1396,505.9931,498.7856,490.6995
1581404,6,2005,1,9.92,587.1839,546.0476,554.7675,536.6012,561.1994,542.5052,508.2362
1581405,10,2004,2,10.58,525.3302,589.7295,635.6218,629.9156,576.4577,576.2832,530.884
1581406,2,2005,2,10.25,483.5538,535.7072,570.7501,531.0658,530.5563,534.5818,530.6372
1581407,6,2005,2,9.92,517.1434,466.2078,487.1833,478.2087,542.6823,511.9289,552.6356
1581408,6,2005,2,9.92,484.7138,526.7592,591.4648,556.6834,598.787,536.41,542.8936
1581409,3,2005,1,10.17,377.2375,364.7718,403.1439,381.829,508.7476,527.1476,523.5711
1581410,12,2004,1,10.42,496.715,481.3459,514.2294,509.5081,515.2071,515.2376,492.6333
1581412,7,2005,2,9.83,537.4505,381.4593,486.5689,466.0702,485.0464,511.3868,501.803
1581413,8,2005,1,9.75,505.3505,517.5241,533.4343,502.0072,523.0665,537.042,533.3436
1581415,7,2005,2,9.83,622.3398,657.7258,628.1718,626.2896,609.937,615.4115,625.1935
1581416,6,2005,2,9.92,538.1575,510.1679,604.0264,497.3715,596.2616,593.3517,560.1569
1581417,1,2005,1,10.33,537.8517,529.7152,526.2601,548.643,555.9273,520.9575,542.1429
1581418,8,2005,1,9.75,501.6108,440.8761,505.9097,469.2123,554.9152,492.4648,556.293
1581419,6,2005,1,9.92,571.238,581.1882,558.6017,579.6266,588.6052,548.7792,571.0285
1581420,9,2004,2,10.67,455.1303,446.1091,483.5461,502.9477,503.7903,490.4623,477.4544
1581421,5,2005,1,10,579.0645,653.086,639.9588,652.3956,629.5245,590.8065,593.5692
1581422,11,2004,2,10.5,570.2643,624.1665,569.5739,524.1969,558.1297,554.8308,562.9892
1581423,1,2005,1,10.33,394.6615,406.8504,395.4076,375.9714,402.673,443.377,453.4728
1581424,9,2004,2,10.67,495.6198,525.5319,534.5162,546.7402,492.6429,509.7275,525.0767
1581425,7,2005,1,9.83,587.3332,560.1656,599.6176,569.9046,583.5963,581.0163,528.5078
1581427,7,2005,1,9.83,489.259,597.3874,545.9689,583.9046,459.2192,477.2264,472.6407
1581428,8,2005,1,9.75,481.7297,457.4273,495.639,481.7496,500.3115,533.5119,516.3901
1590401,2,2005,2,10.08,481.5423,428.0031,425.1516,426.8217,454.3406,483.3335,498.5612
1590402,1,2005,1,10.17,548.4086,526.3391,553.4934,561.8141,587.6566,576.1633,575.544
1590403,6,2005,2,9.75,634.9327,610.4866,602.9198,629.3138,627.9394,639.4598,628.8517
1590404,12,2004,1,10.25,553.7006,567.7206,553.766,586.3416,600.2141,589.3165,597.4036
1590405,12,2004,2,10.25,673.1318,633.5774,675.1354,665.4093,616.6826,620.0103,604.2645
1590406,12,2004,1,10.25,513.2018,518.022,559.1632,481.2375,521.4463,510.7033,522.4089
1590407,1,2004,1,11.17,534.3696,528.9016,567.1085,562.4562,514.3085,549.0425,450.2602
1590408,1,2005,1,10.17,448.3141,491.5723,527.8645,507.6828,501.8733,507.5025,490.3728
1590409,1,2004,2,11.17,471.7101,521.9724,521.7588,560.6679,509.9184,485.0477,538.0987
1590410,1,2005,2,10.17,519.4722,468.1435,519.3629,497.1395,567.381,567.5544,498.6801
1590411,5,2005,1,9.83,621.9899,556.9884,585.4979,561.2181,558.7223,585.7087,555.6008
1590412,5,2004,1,10.83,590.4678,542.6703,562.6997,553.4817,546.6935,537.9277,562.5876
1590413,7,2005,2,9.67,557.1228,522.9597,514.2062,559.2307,586.9308,607.499,630.7285
1590414,8,2005,2,9.58,716.0946,749.6023,689.2906,748.9042,716.0625,705.6207,683.597
1590415,12,2004,2,10.25,575.3546,583.5448,597.4251,570.4263,685.4642,623.4277,639.0094
1590416,6,2005,1,9.75,581.3672,615.8494,626.1821,558.3493,584.2901,566.7988,559.9188
1590417,10,2004,2,10.42,602.4434,559.362,570.0285,498.8485,563.1272,544.1735,537.9112
1590418,10,2004,2,10.42,497.1823,511.5389,546.467,500.3819,502.0889,533.7468,488.8
1590420,1,2005,1,10.17,527.8492,533.0776,561.586,557.7578,594.4468,571.3568,571.3825
1590421,7,2005,1,9.67,628.6683,625.7636,625.031,587.5756,614.7056,613.8215,582.0395
1590422,5,2005,2,9.83,475.812,469.2934,465.2906,522.2918,591.3148,579.0605,547.9991
1590423,10,2004,1,10.42,605.8764,592.7981,664.9616,635.7037,627.0116,636.1601,606.4977
1590701,7,2005,1,9.67,546.1305,520.2754,530.3029,530.791,578.2443,567.5277,584.7672
1590702,8,2005,2,9.58,580.2017,588.6319,566.1805,576.4744,556.3814,566.6168,587.5148
1590703,2,2005,1,10.08,612.0949,557.9333,571.9968,558.7133,583.8993,560.1053,568.2598
1590704,3,2005,1,10,576.3666,596.3062,589.0222,558.2934,602.0625,592.8741,581.1158
1590705,2,2005,1,10.08,749.4723,721.6434,711.8565,667.7217,729.7542,713.3589,697.3991
1590706,9,2005,1,9.5,543.5707,515.0261,555.6661,519.7299,591.4696,542.467,599.441
1590707,9,2005,1,9.5,510.74,505.8971,506.9694,523.4517,466.2355,462.9784,466.5307
1590708,5,2005,1,9.83,556.0647,582.4175,583.2426,577.9567,614.5246,621.0232,602.8917
1590709,8,2005,1,9.58,561.6265,472.1209,485.3081,511.9556,578.0826,564.7951,535.711
1590710,9,2005,1,9.5,539.9649,460.5359,485.1815,500.5561,522.5515,548.875,542.4916
1590711,3,2005,2,10,494.9221,501.5739,539.4443,473.26,549.1118,514.8229,539.6279
1590712,4,2005,2,9.92,550.0922,430.739,492.8598,466.0925,475.9981,460.6997,478.7349
1590713,6,2005,2,9.75,592.0885,577.335,651.3134,636.6035,653.6325,624.2239,624.2379
1590714,5,2004,1,10.83,531.4533,587.3547,560.6532,541.8907,565.0653,532.471,548.2873
1590715,12,2004,1,10.25,532.9075,475.8417,477.6188,481.0773,508.3624,501.3185,521.2565
1590716,3,2003,2,12,513.724,444.5132,474.7797,475.1757,541.0466,543.583,500.7728
1590717,8,2005,2,9.58,562.1254,579.6947,583.4788,605.3718,525.047,505.0467,519.5987
1590718,3,2005,2,10,567.3494,585.4506,590.4039,580.4112,580.4711,616.9792,563.2652
1590719,4,2005,2,9.92,599.9375,600.9727,611.8749,606.7706,615.203,644.6532,602.1576
1590720,3,2005,2,10,626.2433,575.444,605.0793,561.7387,650.0121,614.2886,626.1977
1590721,1,2005,1,10.17,641.8088,590.3601,605.5767,593.3279,597.8977,584.391,559.5629
1590722,7,2005,2,9.67,585.5766,601.0748,566.8678,587.4057,623.7748,597.094,561.1584
1590723,4,2005,1,9.92,498.8979,539.4786,571.4437,517.0117,543.5747,542.7184,556.4931
1590724,9,2005,2,9.5,573.9785,541.5054,637.9477,557.4323,510.594,564.7266,553.6131
1600101,6,2004,1,10.92,609.1661,581.2052,633.4146,581.466,580.4143,593.0492,571.3008
1600102,3,2005,2,10.17,529.2182,448.3603,509.602,456.5999,563.5261,594.2543,546.2624
1600103,4,2005,2,10.08,408.5944,438.5338,442.2108,457.9946,428.2229,457.5011,484.2295
1600104,7,2006,2,8.83,577.4066,548.1126,543.3176,564.073,524.6801,543.0399,524.6273
1600105,2,2004,1,11.25,625.9569,657.4417,680.3716,631.2235,645.3393,625.4594,662.7048
1600106,3,2005,1,10.17,669.9694,613.4067,605.7734,576.6652,653.3724,680.335,599.9276
1600107,6,2005,1,9.92,552.8587,478.5951,494.0593,484.0463,596.0005,594.9598,579.2344
1600108,10,2004,2,10.58,591.3375,637.0877,617.0582,594.0742,571.609,553.2671,549.8077
1600109,2,2005,1,10.25,493.2267,516.3179,565.9883,507.1507,557.8405,535.7108,515.2445
1600110,4,2005,1,10.08,439.2932,495.3383,527.2968,512.2359,408.9987,467.4365,427.9745
1600111,3,2005,2,10.17,630.4393,612.9083,563.108,578.21,570.8957,559.2304,528.0239
1600112,3,2005,2,10.17,572.2631,597.9317,608.4616,590.9975,607.9789,617.2242,573.0282
1600113,11,2002,2,12.5,473.7378,552.647,515.2401,529.1103,532.4306,503.0144,528.5518
1600114,10,2004,2,10.58,619.8654,551.7394,621.3875,593.4728,631.5652,595.2381,647.667
1600115,1,2005,1,10.33,467.0526,473.5702,522.7468,435.475,465.2903,466.693,502.0774
1600116,11,2004,2,10.5,558.0004,546.3658,574.736,547.6809,543.2157,513.0327,516.1226
1600117,3,2005,1,10.17,516.8437,427.9066,528.5996,499.8552,419.7499,463.5638,467.1168
1600118,2,2005,2,10.25,469.3951,519.4842,534.1811,516.8286,407.8399,383.0771,483.9059
1600119,3,2004,2,11.17,520.6324,466.6816,475.962,450.035,525.2952,539.9022,491.3854
1600120,6,2005,1,9.92,608.874,581.0818,610.7128,601.1857,613.1051,624.9434,595.0626
1600121,4,2005,2,10.08,572.9177,607.1594,588.1282,601.9261,593.399,612.149,582.6205
1600201,5,2004,1,11,515.2333,489.6765,461.3912,474.4759,484.3483,543.3103,516.0112
